Species,Fruit_type,Notes,Reference,,
Diogenesia_alstoniana,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Anthopterus_wardii,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Anthopterus_revolutus,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Thibaudia_litensis,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Thibaudia_floribunda,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Cavendishia_bracteata,Fleshy,"""Fleshy fruit""",Stevens (2004),Vaccinieae,
Cavendishia_martii,Fleshy,"""Fleshy fruit""",Stevens (2004),Vaccinieae,
Satyria_warszewiczii,Fleshy,"""Fleshy fruit""",Stevens (2004),Vaccinieae,
Satyria_ventricosa,Fleshy,"""Fleshy fruit""",Stevens (2004),Vaccinieae,
Gonocalyx_costaricensis,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Gonocalyx_megabracteolatus,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Vaccinium_poasanum,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Costera_endertii,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Utleya_costaricensis,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
Symphysia_racemosa,Fleshy,"""Fruit baccate""",Stevens (2004),Vaccinieae,
