Species,Fruit_type,Fruit_type_and_notes,Notes,References
Cynanchum_radiatum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_rauhianum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_repandum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_rossii,Dry,Follicles,,Endress et al. (2018)
Cynanchum_roulinioides,Dry,Follicles,,Endress et al. (2018)
Cynanchum_rubricoronae,Dry,Follicles,,Endress et al. (2018)
Cynanchum_rungweense,Dry,Follicles,,Endress et al. (2018)
Cynanchum_sessiliflorum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_sigridiae,Dry,Follicles,,Endress et al. (2018)
Cynanchum_thesioides,Dry,Follicles,,Endress et al. (2018)
Cynanchum_toliari,Dry,Follicles,,Endress et al. (2018)
Cynanchum_verrucosum,Dry,Follicles,,Endress et al. (2018)
Cynanchum_viminale,Dry,Follicles,,Endress et al. (2018)
Cynanchum_wilfordii,Dry,Follicles,,Endress et al. (2018)
Desmidorchis_acutangula,Dry,Follicles,,Endress et al. (2018)
